"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 23, 2020","54.08","50.90","54.16","50.53","153.23M","9.81%"
"Nov 22, 2020","49.25","49.25","49.25","49.25","-","0.00%"
"Nov 20, 2020","49.25","48.36","50.53","47.91","209.11M","1.65%"
"Nov 19, 2020","48.45","45.36","48.90","44.72","233.78M","7.52%"
"Nov 18, 2020","45.06","45.96","46.70","42.51","271.68M","-3.28%"
"Nov 17, 2020","46.59","47.46","49.30","45.04","345.58M","2.22%"
"Nov 16, 2020","45.58","41.11","45.85","41.11","306.21M","2.29%"
"Nov 15, 2020","44.56","44.56","44.56","44.56","-","0.00%"
"Nov 14, 2020","44.56","44.56","44.56","44.56","-","0.00%"
"Nov 13, 2020","44.56","51.50","54.17","40.58","579.07M","-7.74%"
"Nov 12, 2020","48.30","44.52","49.29","44.07","348.33M","12.12%"
"Nov 11, 2020","43.08","39.70","43.22","38.66","179.58M","3.68%"
"Nov 10, 2020","41.55","44.50","45.20","38.11","235.54M","-5.61%"
"Nov 09, 2020","44.02","41.65","45.25","40.51","218.73M","5.74%"
"Nov 06, 2020","41.63","41.09","43.30","40.05","288.78M","-1.70%"
"Nov 05, 2020","42.35","38.71","42.46","38.30","302.47M","12.30%"
"Nov 04, 2020","37.71","37.39","39.73","35.85","339.39M","6.23%"
"Nov 03, 2020","35.50","33.57","35.86","32.81","217.61M","6.54%"
"Nov 02, 2020","33.32","33.95","34.94","31.68","265.72M","8.96%"
"Oct 30, 2020","30.58","31.39","31.59","30.03","136.90M","-4.41%"
"Oct 29, 2020","31.99","28.54","32.19","28.41","214.03M","16.28%"
"Oct 28, 2020","27.51","27.91","27.93","26.52","89.37M","-3.27%"
"Oct 27, 2020","28.44","26.27","28.45","26.06","104.26M","9.34%"
"Oct 26, 2020","26.01","26.61","27.35","25.46","72.19M","-4.23%"
"Oct 23, 2020","27.16","27.37","27.42","26.48","51.78M","-0.80%"
"Oct 22, 2020","27.38","28.14","28.28","26.81","72.17M","-1.72%"
"Oct 21, 2020","27.86","27.90","28.43","27.40","65.36M","-0.36%"
"Oct 20, 2020","27.96","27.42","28.30","27.05","104.35M","1.19%"
"Oct 19, 2020","27.63","28.21","28.56","27.22","114.56M","-2.98%"
"Oct 16, 2020","28.48","29.18","29.40","27.94","186.76M","1.46%"
"Oct 15, 2020","28.07","27.20","29.23","25.78","382.74M","5.92%"
"Oct 14, 2020","26.50","23.98","26.95","23.75","387.90M","22.57%"
"Oct 13, 2020","21.62","21.86","21.97","21.17","42.36M","-1.05%"
"Oct 12, 2020","21.85","21.88","22.18","21.55","44.91M","1.77%"
"Oct 09, 2020","21.47","21.62","21.74","21.32","37.33M","0.14%"
"Oct 08, 2020","21.44","22.05","22.45","21.29","77.17M","-0.56%"
"Oct 07, 2020","21.56","21.13","21.77","20.86","59.35M","4.31%"
"Oct 06, 2020","20.67","21.71","21.94","20.60","73.22M","-4.26%"
"Oct 05, 2020","21.59","21.68","21.92","21.08","60.86M","1.94%"
"Oct 02, 2020","21.18","20.83","22.20","20.80","92.71M","-2.67%"
"Oct 01, 2020","21.76","21.66","21.94","20.84","79.12M","2.54%"
"Sep 30, 2020","21.22","21.69","22.58","20.78","183.53M","1.77%"
"Sep 29, 2020","20.85","18.76","20.85","18.74","164.38M","10.85%"
"Sep 28, 2020","18.81","18.89","19.13","18.43","42.79M","2.67%"
"Sep 25, 2020","18.32","18.00","18.60","17.98","44.12M","2.63%"
"Sep 24, 2020","17.85","17.31","18.38","16.76","71.07M","-0.61%"
"Sep 23, 2020","17.96","19.22","19.35","17.81","70.57M","-6.60%"
"Sep 22, 2020","19.23","18.50","19.45","18.38","61.06M","2.23%"
"Sep 21, 2020","18.81","19.05","19.23","17.67","75.97M","-3.09%"
"Sep 18, 2020","19.41","19.72","19.88","18.94","54.89M","0.57%"
"Sep 17, 2020","19.30","18.20","19.32","18.14","55.19M","1.53%"
"Sep 16, 2020","19.01","19.23","19.53","18.53","57.85M","-0.94%"
"Sep 15, 2020","19.19","19.10","20.25","18.89","111.63M","2.46%"
"Sep 14, 2020","18.73","18.18","18.77","17.92","68.23M","4.23%"
"Sep 11, 2020","17.97","18.00","18.10","17.45","55.37M","1.30%"
"Sep 10, 2020","17.74","18.50","18.71","17.50","79.68M","-1.93%"
"Sep 09, 2020","18.09","17.88","18.59","17.70","90.99M","6.22%"
"Sep 08, 2020","17.03","17.15","17.85","16.52","89.62M","-5.28%"
"Sep 04, 2020","17.98","18.54","19.18","15.61","163.33M","-3.85%"
